1,Frank Sinatra,Ive Got You Under My Skin,465
2,Caetano Veloso,Anjos Tronxos,647
3,Fred Mercury,Radio GaGa,451
4,Fred Mercury,We Are The Champions,411
5,Pink Floyd,In the Flesh,316
6,Pink Floyd,The Thin Ice,227
7,Pink Floyd,Another Brick in the Wall Part 1,311
8,Pink Floyd,The Happiest Days of Our Lives,146
9,Pink Floyd,Another Brick in the Wall Part 2,359
10,Pink Floyd,Mother,532
11,Milton Nascimento,Coracao de Estudante,784
12,Fred Mercury,Somebody Loves Me,147
13,Led Zepellin,Stairway to Haven,457
14,U2,Bloody November,457
